GEM_ID;Gemeinde_Name;Bez_Name;Bez_ID;Region_ID;Region_Name;BfS_GEM_ID;E;N;HeuteJura1Laufental2;HöheüM;Häu;Haush;Wohnb;M;F;Prot;Kat;Isr;And;Deu;Fran;Ita;Rom;And2;ErwT;LWS;Gew;HandVer;TB;PopDens;urbanity;Total_rain
1;Aarberg;Aarberg;1;3;Seeland;301;587587;210292;0;459;193;358;1580;762;818;1489;65;19;7;1530;30;13;1;6;708;145;323;140;43;198.51;0;49164.34383
2;Aarwangen;Aarwangen;2;4;Oberaargau;321;624590;232268;0;440;280;419;1909;970;939;1878;30;0;1;1899;7;1;1;1;790;221;371;100;56;193.14;0;52295.49064
3;Adelboden;Frutigen;12;7;Oberland;561;609227;149073;0;1356;435;460;2045;1019;1026;2001;33;1;10;2021;18;0;1;5;856;452;159;139;35;23.154;0;68576.99604
4;Aefligen;Burgdorf;6;4;Oberaargau;401;608588;216085;0;499;70;112;544;276;268;537;1;0;6;541;1;1;0;1;248;99;117;17;11;261.377;0;51050.02383
5;Aegerten;Nidau;19;3;Seeland;731;588846;218917;0;438;86;157;712;342;170;696;0;0;7;702;9;0;0;0;311;64;175;45;25;320.386;0;57478.95551
6;Aeschi;Frutigen;12;7;Oberland;562;619578;167663;0;859;251;287;1248;627;621;1226;20;0;2;1231;9;5;0;3;570;362;110;55;19;40.259;0;66858.0131
7;Affoltern;Trachselwald;29;4;Oberaargau;951;622327;212876;0;800;180;200;1162;613;549;1159;1;0;1;1162;0;0;0;0;539;363;111;29;14;100.093;0;55862.81941
8;Albligen;Schwarzenburg;25;6;Voralpen;855;590638;188902;0;704;99;129;661;332;329;661;0;0;0;660;1;0;0;0;218;122;72;18;23;156.023;0;54573.24916
9;Alchenstorf;Burgdorf;6;4;Oberaargau;402;615228;219502;0;505;86;126;665;356;309;662;1;0;2;663;2;0;0;0;278;159;85;11;20;100.826;0;52484.80947
10;Alle;Puntrut;23;1;Jura;6771;576618;252986;1;449;240;281;1213;594;619;106;1098;0;9;65;1144;4;0;0;578;182;316;42;41;113.754;0;60477.41272
11;Amsoldingen;Thun;28;6;Voralpen;921;610744;175115;0;646;100;116;500;266;234;495;4;0;1;490;10;0;0;0;208;103;64;14;23;104.453;0;48716.59789
12;Arch;Büren;5;3;Seeland;381;599158;223655;0;450;104;141;726;383;343;694;26;0;6;716;9;1;0;0;313;137;147;18;16;112.938;0;55308.32108
13;Arni;Konolfingen;14;6;Voralpen;602;617473;198361;0;849;192;226;1124;590;534;1119;1;0;4;1124;0;0;0;0;497;311;115;27;16;107.6;0;53556.98573
14;Asuel;Puntrut;23;1;Jura;6810;582684;250006;1;575;62;71;336;159;177;8;325;0;3;11;325;0;0;0;169;95;45;12;8;33.133;0;60798.9074
15;Attiswil;Wangen;30;4;Oberaargau;971;613438;233298;0;480;149;199;973;497;476;943;24;0;6;970;2;1;0;0;406;153;203;24;22;127.307;0;53098.36674
16;Ausserbirrmoos;Konolfingen;14;6;Voralpen;614;616728;188472;0;868;81;93;517;263;254;516;1;0;0;514;3;0;0;0;236;180;31;8;17;114.27;0;55053.72453
17;Auswil;Aarwangen;2;4;Oberaargau;322;629894;220484;0;672;83;98;548;275;273;538;1;0;9;546;1;1;0;0;233;165;44;9;8;119.131;0;54759.8949
18;Ballmoos;Fraubrunnen;11;3;Seeland;540;602829;209940;0;570;8;8;44;30;14;44;0;0;0;44;0;0;0;0;34;32;0;1;1;31.389;0;50128.73809
19;Bangerten;Fraubrunnen;11;3;Seeland;310;600685;211745;0;591;29;34;174;97;77;173;1;0;0;173;1;0;0;0;82;49;19;5;0;;;
20;Bannwil;Aarwangen;2;4;Oberaargau;323;622058;231872;0;437;99;140;625;338;287;617;8;0;0;624;1;0;0;0;289;114;134;17;16;130.794;0;51944.19116
21;Bargen;Aarberg;1;3;Seeland;302;586219;209918;0;452;129;167;708;350;358;702;6;0;0;706;1;1;0;0;317;176;94;23;12;90.36;0;50431.92789
22;Bäriswil;Burgdorf;6;4;Oberaargau;403;607230;207387;0;549;70;122;496;245;251;491;3;0;2;495;1;0;0;0;207;60;99;22;18;181.436;0;50281.47031
23;Bassecourt;Delémont;8;1;Jura;6729;585601;242562;1;481;183;250;1171;591;580;112;1055;0;4;131;1011;29;0;0;500;140;255;50;28;75.291;0;61770.88029
24;Bätterkinden;Fraubrunnen;11;3;Seeland;533;607717;219783;0;476;193;329;1534;782;752;1493;31;0;10;1508;12;13;1;0;687;214;367;61;41;152.567;0;52674.15953
25;Beatenberg;Interlaken;13;7;Oberland;571;626979;171682;0;1148;211;261;1081;535;546;1049;20;6;6;1059;9;1;6;6;527;270;111;99;37;37.147;0;64569.69715
26;Bellmund;Nidau;19;3;Seeland;732;585332;217350;0;508;61;79;353;177;176;351;2;0;0;349;3;0;0;0;163;84;58;12;11;94.508;0;57451.61187
27;Belp;Seftigen;26;6;Voralpen;861;605376;193544;0;521;342;649;3235;1607;1628;3172;50;0;13;3199;21;410;2;3;1357;328;743;143;50;183.982;0;53884.86655
28;Belpberg;Seftigen;26;6;Voralpen;861;606303;190691;0;802;71;82;474;250;224;472;1;0;1;470;0;0;0;1;189;130;38;9;6;84.067;0;53594.95201
29;Belprahon;Moutier;17;1;Jura;681;597523;237274;0;630;25;34;131;70;61;106;24;0;1;45;86;0;0;0;74;30;27;6;4;33.014;0;57909.39719
