IDEntrySys;NoEntrySource;Year;Month;Day;Date_Orig;Date_Early;Early_DIN_Week;Date_Med;Med_DIN_Week;Date_Late;Late_DIN_Week;Comment_Date;DeltaDays;DummyDateAdjust;District;Disease;CatDisease;PlaceOrig;Place_korr;GEM_ID;BEZ_ID;EntDistrict;NumbCases;NumbCasesAdjust1;NumbCasesAdjust2;DummyNumbCasesAdjust;CatWording;Wave
1860;28353;1918;8;27;27.08.1918;16.06.1918;1918_25;20.07.1918;1918_29;24.08.1918;1918_34;16.6 - 24.8;69;1;Saanen;Influenza;1;Saanen;Saanen;363;24;0;23;23;23;0;;1
1859;28353;1918;8;27;27.08.1918;16.06.1918;1918_25;20.07.1918;1918_29;24.08.1918;1918_34;16.6 - 24.8;69;1;Saanen;Influenza;1;Saanen;Saanen;363;24;0;12;12;12;0;;1
1861;28353;1918;8;27;27.08.1918;16.06.1918;1918_25;20.07.1918;1918_29;24.08.1918;1918_34;16.6 - 24.8;69;1;Saanen;Influenza;1;Saanen;Saanen;363;24;0;11;11;11;0;;1
1858;28353;1918;8;27;27.08.1918;16.06.1918;1918_25;20.07.1918;1918_29;24.08.1918;1918_34;16.6 - 24.8;69;1;Saanen;Influenza;1;Saanen;Saanen;363;24;0;10;10;10;0;;1
1857;28353;1918;8;27;27.08.1918;16.06.1918;1918_25;20.07.1918;1918_29;24.08.1918;1918_34;16.6 - 24.8;69;1;Saanen;Influenza;1;Saanen;Saanen;363;24;0;6;6;6;0;;1
1864;28354;1918;8;27;27.08.1918;16.06.1918;1918_25;20.07.1918;1918_29;24.08.1918;1918_34;16.6 - 24.8;69;1;Saanen;Influenza;1;Gsteig;Gsteig;152;24;0;5;5;5;0;;1
1866;28354;1918;8;27;27.08.1918;16.06.1918;1918_25;20.07.1918;1918_29;24.08.1918;1918_34;16.6 - 24.8;69;1;Saanen;Influenza;1;Gsteig;Gsteig;152;24;0;5;5;5;0;;1
1862;28354;1918;8;27;27.08.1918;16.06.1918;1918_25;20.07.1918;1918_29;24.08.1918;1918_34;16.6 - 24.8;69;1;Saanen;Influenza;1;Saanen;Saanen;363;24;0;4;4;4;0;;1
1867;28354;1918;8;27;27.08.1918;16.06.1918;1918_25;20.07.1918;1918_29;24.08.1918;1918_34;16.6 - 24.8;69;1;Saanen;Influenza;1;Gsteig;Gsteig;152;24;0;2;2;2;0;;1
1863;28354;1918;8;27;27.08.1918;16.06.1918;1918_25;20.07.1918;1918_29;24.08.1918;1918_34;16.6 - 24.8;69;1;Saanen;Influenza;1;Saanen;Saanen;363;24;0;2;2;2;0;;1
